id,full_name,weight_class_description,elo,fight_count
438,Manvel Gamburyan,Bantamweight,974,16
439,Georges St-Pierre,Welterweight,1593,23
441,John Polakowski,Lightweight,975,2
442,Nick Thompson,Welterweight,1012,3
443,Junior Assuncao,Featherweight,1004,6
444,Mike Whitehead,Light Heavyweight,986,2
445,Dan Miller,Welterweight,1025,14
446,Matt Grice,Featherweight,928,8
447,Rob Emerson,Lightweight,1008,8
448,Alessio Sakara,Middleweight,983,16
449,Thales Leites,Middleweight,1183,22
450,Sammy Morgan,Welterweight,961,3
451,Frankie Edgar,Bantamweight,1143,31
452,Mark Bocek,Lightweight,1062,14
453,Keith Wisniewski,Welterweight,917,5
454,George Roop,Bantamweight,930,14
455,Dong Hyun Kim,Welterweight,1214,19
456,Rolando Delgado,Lightweight,976,4
457,Mauricio Rua,Light Heavyweight,1047,25
458,War Machine,Welterweight,1002,3
459,Clay Guida,Lightweight,1024,37
460,Naoyuki Kotani,Lightweight,902,6
461,Diego Sanchez,Welterweight,1157,33
462,Dan Barrera,Welterweight,978,2
463,Steve Bruno,Welterweight,977,4
464,Nick Catone,Middleweight,1014,9
465,Shannon Gugerty,Lightweight,1000,6
466,Rob Kimmons,Welterweight,995,8
467,Tom Lawlor,Light Heavyweight,1026,12
468,Chad Reiner,Welterweight,961,3
469,Jason Tan,Welterweight,956,3
470,Victor Valimaki,Light Heavyweight,953,3
471,Robbie Lawler,Welterweight,1127,26
472,Kyle Kingsbury,Light Heavyweight,994,10
473,Rory Markham,Welterweight,990,4
474,Martin Kampmann,Welterweight,1132,18
475,Diego Saraiva,Lightweight,941,4
476,Ivan Menjivar,Featherweight,982,10
477,Joe Stevenson,Lightweight,1000,17
478,Alvin Robinson,Lightweight,962,5
479,Yushin Okami,Middleweight,1202,22
480,Pete Sell,Welterweight,933,8
481,Edwin DeWees,Middleweight,955,4
482,Kyle Bradley,Lightweight,953,5
483,Karo Parisyan,Welterweight,1106,14
484,Jeremy Jackson,Welterweight,964,3
485,Joe Riggs,Middleweight,987,13
486,Eddie Sanchez,Heavyweight,1000,7
487,Kendall Grove,Middleweight,1040,14
488,Thiago Silva,Light Heavyweight,1118,13
489,Razak Al-Hassan,Light Heavyweight,950,3
490,Matt Arroyo,Welterweight,976,4
491,Tomasz Drwal,Middleweight,1010,7
492,Dan Hardy,Welterweight,1082,11
493,Mike Massenzio,Middleweight,954,8
494,Edilberto de Oliveira,Welterweight,954,3
495,Chris Price,Middleweight,952,3
496,Joe Vedepo,Middleweight,952,3
497,Cain Velasquez,Heavyweight,1224,16
498,Jesse Taylor,Middleweight,1002,3
499,Nate Mohr,Lightweight,951,5
500,Josh Neer,Welterweight,965,16
501,Melvin Guillard,Lightweight,1071,23
502,Ben Saunders,Welterweight,1062,20
503,Ryan Bader,Light Heavyweight,1232,21
504,Roger Huerta,Lightweight,1111,9
505,Danny Abbadi,Lightweight,962,3
506,Nick Diaz,Middleweight,1028,16
507,CB Dollaway,Middleweight,1055,21
508,Justin Buchholz,Lightweight,960,6
509,Jim Miller,Lightweight,1413,45
510,Matt Wiman,Lightweight,1073,19
511,Thiago Alves,Welterweight,1192,28
512,Chris Liguori,Middleweight,975,2
513,Brandon Melendez,Lightweight,976,2
514,Gleison Tibau,Lightweight,1080,29
515,Phillipe Nover,Featherweight,917,8
516,Anthony Johnson,Light Heavyweight,1136,20
517,Goran Reljic,,987,5
518,Rameau Thierry Sokoudjou,Light Heavyweight,977,4
519,Tyson Griffin,Featherweight,1036,15
520,Sam Stout,Lightweight,949,21
521,Alan Belcher,Middleweight,1077,16
522,Cole Miller,Featherweight,1051,21
523,Junie Browning,Lightweight,1002,3
524,Joe Lauzon,Lightweight,1127,28
525,Keita Nakamura,Welterweight,937,12
526,Vinny Magalhaes,Light Heavyweight,958,6
527,Shane Primm,Light Heavyweight,975,2
528,Tommy Speer,Welterweight,952,3
529,Jake O'Brien,Light Heavyweight,1021,8
530,Jamie Varner,Lightweight,964,10
531,Jesse Forbes,Middleweight,949,4
